bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,gcj02_LNG,gcj02_LAT,wgs84_LNG,wgs84_LAT
13069100.0,3732200.0,2,117.4008902069635,31.937129268602764,117.39435785341126,31.931206026790164,117.38860776863528,31.933054437176303
13054900.0,3640800.0,1,117.27332977630248,31.234260010862474,117.26682603367837,31.22819669069899,117.26139213542444,31.23027620759447
13071800.0,3721200.0,1,117.42425299343441,31.852061249394282,117.4176455727111,31.846407409912462,117.41189644642198,31.848235633346288
13056100.0,3701400.0,2,117.28410687543716,31.700872678381852,117.27755657236895,31.695004590680742,117.2720677420742,31.696987192336923
13043000.0,3805200.0,1,117.1655477203929,32.49388868844113,117.15902254300597,32.48805394181789,117.15337221265828,32.49001127634371
13047200.0,3733400.0,2,117.20327637603619,31.94556603580018,117.19669830400008,31.93978706249715,117.19116397321976,31.941763242660663
13045200.0,3639800.0,1,117.18531097522971,31.225781674660052,117.17870073100067,31.220127921486466,117.17320305642576,31.22212322725657
13048600.0,3715700.0,6,117.21585060463512,31.809882928386685,117.209343416935,31.80389395402036,117.2038402930941,31.805862891797187
13048100.0,3711300.0,1,117.21135970114142,31.776123258481473,117.2048536302262,31.770222095377537,117.1993475024954,31.772178731053938
13048800.0,3712700.0,6,117.21764675534195,31.786866173446636,117.21116885823609,31.78084907833385,117.20567023928488,31.78281698353281
13051000.0,3721800.0,7,117.2374059444473,31.85666350473338,117.23098169561568,31.850347758555998,117.22549546689712,31.85235146739471
13055400.0,3712300.0,1,117.27782028203201,31.784552046005565,117.27133103102209,31.778581256805293,117.26584201043354,31.78057812493565
13127100.0,3692200.0,1,117.92191130160285,31.630185521765057,117.91534989940708,31.624432225221334,117.91012677002696,31.62659490421692
13028900.0,3721200.0,1,117.03975557689587,31.85281095887091,117.03322726009206,31.84686667216759,117.02776155859851,31.84880295784219
13058500.0,3716600.0,5,117.30566270040887,31.81753776146287,117.29905612920432,31.8118861774146,117.29351935546406,31.813859037618105
13075100.0,3720000.0,1,117.4539062475877,31.842866108504612,117.44737510816603,31.83690948784046,117.44165974260493,31.8387681553818
13123600.0,3690500.0,2,117.88958007289433,31.61635778830577,117.88301120226637,31.610578055019797,117.87776283664164,31.612730481309
13038100.0,3720000.0,1,117.1215226925516,31.8428597185925,117.11509688483235,31.836514944148693,117.10946864964004,31.838346621059895
13078600.0,3722600.0,7,117.48535347671711,31.86280801185209,117.47894533869331,31.856455146420377,117.47330830613916,31.85838935783269
13055000.0,3719800.0,13,117.27422778767597,31.842086213909052,117.26772081402669,31.836039349876415,117.2622301145746,31.83804806629057
13097600.0,3730600.0,1,117.65690216800542,31.924865094233624,117.65031928581902,31.919173892708773,117.64493850712655,31.92133980979308
