bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,gcj02_LNG,gcj02_LAT,wgs84_LNG,wgs84_LAT
13062500.0,3800500.0,1,117.3415920990231,32.45883861237175,117.33511069283755,32.45274356029079,117.32942629381031,32.454735842058106
13044800.0,3743600.0,1,117.18171790760897,32.02366673029089,117.17514256399367,32.01801176217496,117.16956429325953,32.01996630215433
13050600.0,3704000.0,3,117.23381325086835,31.720081614648084,117.22736940884515,31.71379895701155,117.2218934628046,31.71577846867932
13057000.0,3727200.0,40,117.29218996068941,31.89881398272488,117.2856391291829,31.893076148391454,117.28011975981798,31.89508235080703
13052200.0,3629500.0,4,117.24818347356661,31.146224011572276,117.24177636216685,31.139873772719955,117.23635965657108,31.141996301256132
13056300.0,3645600.0,6,117.28590302207154,31.271303250383607,117.27936431304337,31.265470387627563,117.27391252080628,31.26752509123704
13064500.0,3713100.0,2,117.35955926588221,31.790685367010376,117.35316267431463,31.784359447624507,117.34749770435144,31.78623055378748
13052900.0,3714600.0,13,117.25536772819294,31.80220322800811,117.24895693846345,31.79589057777153,117.2434801217266,31.797894456959977
13052400.0,3704200.0,1,117.24997944595306,31.72161330712432,117.24355437149715,31.715262624751993,117.23808515244072,31.717253963642595
13060400.0,3715200.0,1,117.32272886517634,31.806795213128414,117.31616460300046,31.80102816824309,117.31059010516655,31.802971013713005
13058600.0,3781900.0,1,117.3065604459601,32.31706154653889,117.29994428320626,32.31140814813766,117.29435844020924,32.31347021393623
13078600.0,3725200.0,2,117.48535336584605,31.882739866919927,117.47896346096158,31.876391912362937,117.47332458037278,31.878330264180416
13058200.0,3715800.0,10,117.30296816250936,31.811401621713628,117.29636874536557,31.80574561869148,117.29083799647772,31.8077212626756
13069800.0,3732800.0,2,117.40718012063495,31.94172748978127,117.40061528882536,31.935909439599374,117.39486005559016,31.93775608110097
13059600.0,3642600.0,9,117.31554282552605,31.24814587758282,117.30894382966962,31.24245582466669,117.30343821161384,31.244481444226924
13040400.0,3721100.0,43,117.14218884698862,31.851297684648443,117.13574012562171,31.845055316498943,117.13012144795444,31.84690645670136
13127600.0,3698600.0,1,117.92640197057933,31.679364518706773,117.91986026393691,31.673545355527896,117.91463224139632,31.675707385762863
13063200.0,3719900.0,13,117.34788063270162,31.842845801427053,117.34141623820646,31.836642763584592,117.33577491125943,31.838544533457505
13061500.0,3646700.0,1,117.33260948306084,31.279784302535077,117.32610329788268,31.27385903824901,117.32055326635503,31.275840278539224
13048900.0,3718500.0,3,117.2185450777183,31.831359840826813,117.21203651526889,31.82531733237722,117.20653483051298,31.82729402922229
13041500.0,3717700.0,1,117.15207152406335,31.82522496919187,117.14557716947715,31.81913989185837,117.13997169291486,31.82099954236384
13096700.0,3733600.0,2,117.64881814786517,31.94784867365127,117.64224318527188,31.942054943896196,117.63687354624538,31.944238470851943
13049900.0,3713200.0,13,117.22752608103653,31.7907017243923,117.22109239385811,31.784512564609873,117.2156045250625,31.786494244082427
12993000.0,3725200.0,2,116.71727370499194,31.88348240897889,116.71070819291349,31.877783161608924,116.70553861514236,31.87984687483341
13075600.0,3717900.0,3,117.4583988051793,31.82676200184446,117.4518911716231,31.820722543087292,117.44618630225324,31.82258638477934
13063400.0,3733600.0,6,117.34967711355705,31.947845467333487,117.34322080716018,31.941616024901283,117.33756499685543,31.94353680615781
13050400.0,3755300.0,1,117.23201713800002,32.11316297639408,117.22559415935959,32.10690855847769,117.22008004768838,32.108963952233445
13041600.0,3740400.0,1,117.1529702082897,31.99916987147352,117.14649992676487,31.99310916470295,117.1408791192968,31.99500777079577
13065300.0,3617400.0,1,117.36674739601973,31.05344901542623,117.36035963404458,31.047102053138676,117.35474743021231,31.049135341884043
13106400.0,3707900.0,1,117.73595915071506,31.75078096414885,117.72954721186248,31.744472201733636,117.7240461925071,31.74647453666453
13049800.0,3718300.0,3,117.22662817495508,31.82982522101714,117.22015835281977,31.8236419194146,117.21466592234717,31.82562913095356
13036300.0,3755500.0,1,117.10624709537224,32.11468630726777,117.09980271237421,32.10851609053646,117.09415386254813,32.11040545316525
13046200.0,3682800.0,8,117.19429402788244,31.557148838476188,117.18771533055312,31.551474347882827,117.1822025325852,31.553392485142243
13074200.0,3630200.0,5,117.44581899847316,31.151638168165942,117.43927505006802,31.145827319279096,117.43361170538908,31.14778449776219
13055200.0,3730300.0,9,117.27602401000169,31.922571220357778,117.26952982065959,31.91656350018932,117.26402982767895,31.918588133982624
13076800.0,3721900.0,2,117.46918090537525,31.857439627900423,117.46273142407449,31.85121941326935,117.45704883229416,31.85311175610744
13084200.0,3662000.0,2,117.53565723932427,31.39701228406796,117.5290888081333,31.391311759590653,117.52366413899249,31.393398422677677
13046900.0,3667100.0,1,117.2005816246085,31.436297277320325,117.19402078462142,31.430560755143063,117.18852962852635,31.43250945579518
13076800.0,3761700.0,1,117.46918059773284,32.162091355479276,117.46274443303076,32.155874406672446,117.4570324859083,32.15783268194859
